Configuration
batch_size = 128
cuda = True
data = './data/wikitext-2'
dry_run = False
emsize = 100
epochs = 10
eval_batch_size = 128
log_interval = 200
lr = 0.001
nhid = 100
onnx_export = ''
save = 'model.pt'
seed = 1111
seq_size = 6
skip_train = False
tied = False

| epoch   1 | 16000/16311 batches | lr 1.00e-03 | ms/batch  5.57 | loss  3.30 | ppl    27.07
| epoch   1 | 16200/16311 batches | lr 1.00e-03 | ms/batch  5.55 | loss  3.32 | ppl    27.68
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 92.68s | valid loss  3.42 | valid ppl    30.45
-----------------------------------------------------------------------------------------
| epoch   2 |   200/16311 batches | lr 1.00e-03 | ms/batch  5.61 | loss  3.28 | ppl    26.49
| epoch   2 |   400/16311 batches | lr 1.00e-03 | ms/batch  5.56 | loss  3.25 | ppl    25.68
| epoch   2 |   600/16311 batches | lr 1.00e-03 | ms/batch  5.56 | loss  3.18 | ppl    23.96
| epoch   2 |   800/16311 batches | lr 1.00e-03 | ms/batch  5.58 | loss  3.20 | ppl    24.61
| epoch   2 |  1000/16311 batches | lr 1.00e-03 | ms/batch  5.56 | loss  3.15 | ppl    23.45
| epoch   2 |  1200/16311 batches | lr 1.00e-03 | ms/batch  5.57 | loss  3.15 | ppl    23.33
| epoch   2 |  1400/16311 batches | lr 1.00e-03 | ms/batch  5.56 | loss  3.13 | ppl    22.88
| epoch   2 |  1600/16311 batches | lr 1.00e-03 | ms/batch  5.59 | loss  3.15 | ppl    23.45
| epoch   2 |  1800/16311 batches | lr 1.00e-03 | ms/batch  5.57 | loss  3.15 | ppl    23.36
| epoch   2 |  2000/16311 batches | lr 1.00e-03 | ms/batch  5.56 | loss  3.11 | ppl    22.52
| epoch   2 |  2200/16311 batches | lr 1.00e-03 | ms/batch  5.57 | loss  3.11 | ppl    22.32
| epoch   2 |  2400/16311 batches | lr 1.00e-03 | ms/batch  5.58 | loss  3.11 | ppl    22.34
| epoch   2 |  2600/16311 batches | lr 1.00e-03 | ms/batch  5.62 | loss  3.10 | ppl    22.24
| epoch   2 |  2800/16311 batches | lr 1.00e-03 | ms/batch  5.57 | loss  3.06 | ppl    21.28
| epoch   2 |  3000/16311 batches | lr 1.00e-03 | ms/batch  5.56 | loss  3.08 | ppl    21.72
| epoch   2 |  3200/16311 batches | lr 1.00e-03 | ms/batch  5.56 | loss  3.07 | ppl    21.57
| epoch   2 |  3400/16311 batches | lr 1.00e-03 | ms/batch  5.57 | loss  3.09 | ppl    21.92
| epoch   2 |  3600/16311 batches | lr 1.00e-03 | ms/batch  5.57 | loss  3.06 | ppl    21.32
| epoch   2 |  3800/16311 batches | lr 1.00e-03 | ms/batch  5.58 | loss  3.05 | ppl    21.21
| epoch   2 |  4000/16311 batches | lr 1.00e-03 | ms/batch  5.61 | loss  3.05 | ppl    21.06
| epoch   2 |  4200/16311 batches | lr 1.00e-03 | ms/batch  5.58 | loss  3.05 | ppl    21.19
| epoch   2 |  4400/16311 batches | lr 1.00e-03 | ms/batch  5.57 | loss  3.08 | ppl    21.67
| epoch   2 |  4600/16311 batches | lr 1.00e-03 | ms/batch  5.57 | loss  3.03 | ppl    20.77
| epoch   2 |  4800/16311 batches | lr 1.00e-03 | ms/batch  5.58 | loss  3.04 | ppl    20.81
| epoch   2 |  5000/16311 batches | lr 1.00e-03 | ms/batch  5.59 | loss  3.04 | ppl    20.89
| epoch   2 |  5200/16311 batches | lr 1.00e-03 | ms/batch  5.56 | loss  3.03 | ppl    20.61
| epoch   2 |  5400/16311 batches | lr 1.00e-03 | ms/batch  5.62 | loss  3.01 | ppl    20.28
| epoch   2 |  5600/16311 batches | lr 1.00e-03 | ms/batch  5.90 | loss  3.03 | ppl    20.70
| epoch   2 |  5800/16311 batches | lr 1.00e-03 | ms/batch  5.60 | loss  3.02 | ppl    20.47
| epoch   2 |  6000/16311 batches | lr 1.00e-03 | ms/batch  5.62 | loss  3.03 | ppl    20.69
| epoch   2 |  6200/16311 batches | lr 1.00e-03 | ms/batch  5.58 | loss  3.01 | ppl    20.28
| epoch   2 |  6400/16311 batches | lr 1.00e-03 | ms/batch  5.55 | loss  3.04 | ppl    20.92
| epoch   2 |  6600/16311 batches | lr 1.00e-03 | ms/batch  5.55 | loss  3.05 | ppl    21.03
| epoch   2 |  6800/16311 batches | lr 1.00e-03 | ms/batch  5.57 | loss  3.03 | ppl    20.79
| epoch   2 |  7000/16311 batches | lr 1.00e-03 | ms/batch  5.57 | loss  3.03 | ppl    20.79
| epoch   2 |  7200/16311 batches | lr 1.00e-03 | ms/batch  5.59 | loss  3.01 | ppl    20.37
| epoch   2 |  7400/16311 batches | lr 1.00e-03 | ms/batch  5.57 | loss  2.99 | ppl    19.84
| epoch   2 |  7600/16311 batches | lr 1.00e-03 | ms/batch  5.57 | loss  2.97 | ppl    19.41
| epoch   2 |  7800/16311 batches | lr 1.00e-03 | ms/batch  5.58 | loss  2.98 | ppl    19.64
| epoch   2 |  8000/16311 batches | lr 1.00e-03 | ms/batch  5.57 | loss  3.06 | ppl    21.24
| epoch   2 |  8200/16311 batches | lr 1.00e-03 | ms/batch  5.57 | loss  3.03 | ppl    20.71
| epoch   2 |  8400/16311 batches | lr 1.00e-03 | ms/batch  5.55 | loss  3.00 | ppl    20.18
| epoch   2 |  8600/16311 batches | lr 1.00e-03 | ms/batch  5.57 | loss  3.00 | ppl    20.14
| epoch   2 |  8800/16311 batches | lr 1.00e-03 | ms/batch  5.58 | loss  2.99 | ppl    19.85
| epoch   2 |  9000/16311 batches | lr 1.00e-03 | ms/batch  5.57 | loss  2.97 | ppl    19.58
| epoch   2 |  9200/16311 batches | lr 1.00e-03 | ms/batch  5.56 | loss  2.98 | ppl    19.72
| epoch   2 |  9400/16311 batches | lr 1.00e-03 | ms/batch  5.57 | loss  3.00 | ppl    20.00
| epoch   2 |  9600/16311 batches | lr 1.00e-03 | ms/batch  5.57 | loss  3.01 | ppl    20.38
| epoch   2 |  9800/16311 batches | lr 1.00e-03 | ms/batch  5.56 | loss  2.99 | ppl    19.88
| epoch   2 | 10000/16311 batches | lr 1.00e-03 | ms/batch  5.57 | loss  3.03 | ppl    20.63
| epoch   2 | 10200/16311 batches | lr 1.00e-03 | ms/batch  5.55 | loss  2.98 | ppl    19.71
| epoch   2 | 10400/16311 batches | lr 1.00e-03 | ms/batch  5.57 | loss  2.99 | ppl    19.82
| epoch   2 | 10600/16311 batches | lr 1.00e-03 | ms/batch  5.56 | loss  2.98 | ppl    19.74
| epoch   2 | 10800/16311 batches | lr 1.00e-03 | ms/batch  5.57 | loss  2.98 | ppl    19.60
| epoch   2 | 11000/16311 batches | lr 1.00e-03 | ms/batch  5.57 | loss  2.98 | ppl    19.63
| epoch   2 | 11200/16311 batches | lr 1.00e-03 | ms/batch  5.56 | loss  2.97 | ppl    19.57
| epoch   2 | 11400/16311 batches | lr 1.00e-03 | ms/batch  5.56 | loss  2.94 | ppl    18.85
| epoch   2 | 11600/16311 batches | lr 1.00e-03 | ms/batch  5.57 | loss  2.96 | ppl    19.25
| epoch   2 | 11800/16311 batches | lr 1.00e-03 | ms/batch  5.61 | loss  2.95 | ppl    19.03
| epoch   2 | 12000/16311 batches | lr 1.00e-03 | ms/batch  5.57 | loss  2.93 | ppl    18.73
| epoch   2 | 12200/16311 batches | lr 1.00e-03 | ms/batch  5.56 | loss  2.95 | ppl    19.03
| epoch   2 | 12400/16311 batches | lr 1.00e-03 | ms/batch  5.58 | loss  2.94 | ppl    18.91
| epoch   2 | 12600/16311 batches | lr 1.00e-03 | ms/batch  5.56 | loss  2.93 | ppl    18.64
| epoch   2 | 12800/16311 batches | lr 1.00e-03 | ms/batch  5.56 | loss  2.96 | ppl    19.24
| epoch   2 | 13000/16311 batches | lr 1.00e-03 | ms/batch  5.57 | loss  2.94 | ppl    18.99
| epoch   2 | 13200/16311 batches | lr 1.00e-03 | ms/batch  5.56 | loss  2.92 | ppl    18.55
| epoch   2 | 13400/16311 batches | lr 1.00e-03 | ms/batch  5.61 | loss  2.93 | ppl    18.71
| epoch   2 | 13600/16311 batches | lr 1.00e-03 | ms/batch  5.58 | loss  2.93 | ppl    18.80
| epoch   2 | 13800/16311 batches | lr 1.00e-03 | ms/batch  5.56 | loss  2.91 | ppl    18.27
| epoch   2 | 14000/16311 batches | lr 1.00e-03 | ms/batch  5.58 | loss  2.94 | ppl    18.94
| epoch   2 | 14200/16311 batches | lr 1.00e-03 | ms/batch  5.56 | loss  2.96 | ppl    19.25
| epoch   2 | 14400/16311 batches | lr 1.00e-03 | ms/batch  5.57 | loss  2.95 | ppl    19.17
| epoch   2 | 14600/16311 batches | lr 1.00e-03 | ms/batch  5.56 | loss  2.97 | ppl    19.51
| epoch   2 | 14800/16311 batches | lr 1.00e-03 | ms/batch  5.55 | loss  2.97 | ppl    19.46
| epoch   2 | 15000/16311 batches | lr 1.00e-03 | ms/batch  5.56 | loss  2.96 | ppl    19.28
| epoch   2 | 15200/16311 batches | lr 1.00e-03 | ms/batch  5.56 | loss  2.97 | ppl    19.49
| epoch   2 | 15400/16311 batches | lr 1.00e-03 | ms/batch  5.56 | loss  2.95 | ppl    19.09
| epoch   2 | 15600/16311 batches | lr 1.00e-03 | ms/batch  5.56 | loss  2.97 | ppl    19.58
| epoch   2 | 15800/16311 batches | lr 1.00e-03 | ms/batch  5.56 | loss  2.93 | ppl    18.82
| epoch   2 | 16000/16311 batches | lr 1.00e-03 | ms/batch  5.56 | loss  2.95 | ppl    19.16
| epoch   2 | 16200/16311 batches | lr 1.00e-03 | ms/batch  5.58 | loss  2.99 | ppl    19.87
-----------------------------------------------------------------------------------------
| end of epoch   2 | time: 92.66s | valid loss  3.35 | valid ppl    28.60
-----------------------------------------------------------------------------------------
| epoch   3 |   200/16311 batches | lr 1.00e-03 | ms/batch  5.60 | loss  2.96 | ppl    19.22
| epoch   3 |   400/16311 batches | lr 1.00e-03 | ms/batch  5.57 | loss  2.93 | ppl    18.76
| epoch   3 |   600/16311 batches | lr 1.00e-03 | ms/batch  5.58 | loss  2.87 | ppl    17.67
| epoch   3 |   800/16311 batches | lr 1.00e-03 | ms/batch  5.56 | loss  2.92 | ppl    18.53
| epoch   3 |  1000/16311 batches | lr 1.00e-03 | ms/batch  5.59 | loss  2.87 | ppl    17.57
| epoch   3 |  1200/16311 batches | lr 1.00e-03 | ms/batch  5.59 | loss  2.86 | ppl    17.53
| epoch   3 |  1400/16311 batches | lr 1.00e-03 | ms/batch  5.58 | loss  2.85 | ppl    17.27
| epoch   3 |  1600/16311 batches | lr 1.00e-03 | ms/batch  5.56 | loss  2.88 | ppl    17.77
| epoch   3 |  1800/16311 batches | lr 1.00e-03 | ms/batch  5.60 | loss  2.88 | ppl    17.84
| epoch   3 |  2000/16311 batches | lr 1.00e-03 | ms/batch  5.59 | loss  2.85 | ppl    17.24
| epoch   3 |  2200/16311 batches | lr 1.00e-03 | ms/batch  5.58 | loss  2.85 | ppl    17.27
| epoch   3 |  2400/16311 batches | lr 1.00e-03 | ms/batch  5.59 | loss  2.84 | ppl    17.15
| epoch   3 |  2600/16311 batches | lr 1.00e-03 | ms/batch  5.58 | loss  2.84 | ppl    17.15
| epoch   3 |  2800/16311 batches | lr 1.00e-03 | ms/batch  5.64 | loss  2.80 | ppl    16.44
| epoch   3 |  3000/16311 batches | lr 1.00e-03 | ms/batch  5.57 | loss  2.81 | ppl    16.65
| epoch   3 |  3200/16311 batches | lr 1.00e-03 | ms/batch  5.59 | loss  2.82 | ppl    16.78
